userid,probability,openness,agreeableness,neuroticism,conscientiousness,extraversion
8e7cebf9a234c064b75016249f2ac65e,2,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.25,0.9166666666666666
77c7d756a093150d4377720abeaeef76,1,1.0,0.5,0.16666666666666666,0.75,0.5
92561f21446e017dd6b68b94b23ad5b7,1,0.75,0.75,0.5,0.5833333333333334,0.5
030001ac2145a938b07e686a35a2d638,1,0.75,0.75,0.5833333333333334,0.5833333333333334,0.25
f91b2fb085d0feb47b86fc81b10207ee,2,0.8333333333333334,0.3333333333333333,0.5,0.4166666666666667,0.08333333333333333
f7b0502be8c86203ce6acaffe59f993a,2,0.5833333333333334,0.5,0.16666666666666666,0.6666666666666666,0.5
36f31ef9879b4de96977aeba94878581,2,0.75,0.5833333333333334,0.16666666666666666,0.3333333333333333,0.5
653bb2f69ddd19e1cf1f9e1871916d71,2,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333
4d92401ed253aab37fa28a68d5d24d87,3,0.9166666666666666,0.9166666666666666,0.0,0.75,0.9166666666666666
875afaef12d7872b644948db1bb3040a,3,0.25,0.9166666666666666,0.0,1.0,0.5
2507e0e5af7f4c6bef436c8cd0e90bc3,2,0.9166666666666666,0.5,0.75,0.8333333333333334,0.5
7500db258d55789ef86cbb29ffcb2016,2,1.0,0.3333333333333333,0.8333333333333334,0.3333333333333333,0.08333333333333333
4d9071f72df26fe1d04196c8c6bb126e,1,0.75,0.6666666666666666,0.08333333333333333,0.75,0.8333333333333334
a258fd42676ec2550796eeb1b0028ea0,2,0.75,0.4166666666666667,0.6666666666666666,0.9166666666666666,0.25
e0ae9890c58fcfe19c89b45f5871add2,2,0.75,0.8333333333333334,0.5,0.4166666666666667,0.08333333333333333
0c6e74d0739fb94e2f3c8e5605497bbd,1,0.9166666666666666,0.5,0.5833333333333334,0.4166666666666667,0.5833333333333334
b6a8cb7e55cbf2c1bde7f2b252203272,2,0.75,0.16666666666666666,0.75,0.8333333333333334,0.25
7211a6a66a5fc549e2d74dacfbb555b2,1,0.75,0.5,0.25,0.5833333333333334,0.5833333333333334
2d274b0dd0a7fe38bb172aed02270a7c,2,0.9166666666666666,0.6666666666666666,0.25,0.6666666666666666,0.75
428db88497a65655feb825365ad29a4a,2,1.0,0.5,0.3333333333333333,0.6666666666666666,0.4166666666666667
183a0f30268fa6fda7b3609f8bcf0f44,2,0.9166666666666666,0.25,0.5833333333333334,0.75,0.5
eefef5e8659f07c7ca44b300d51559d6,1,0.6666666666666666,0.5,0.25,0.4166666666666667,0.5833333333333334
79a402185248690bdee40163a140fde4,3,0.6666666666666666,0.5,0.3333333333333333,0.5833333333333334,0.16666666666666666
56e60808b468eb5f0845616fe2714974,2,0.5833333333333334,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333
